frequency [Hz],input_power [dBm]
1700000000.000000, -4.736842
1705025125.628141, -4.736842
1710050251.256281, -1.578947
1715075376.884422, -2.631579
1720100502.512563, -1.578947
1725125628.140703, -2.631579
1730150753.768844, -2.631579
1735175879.396985, -2.631579
1740201005.025126, -3.684211
1745226130.653266, -3.684211
1750251256.281407, -5.789474
1755276381.909548, -5.789474
1760301507.537688, -4.736842
1765326633.165829, -5.789474
1770351758.793970, -7.894737
1775376884.422111, -6.842105
1780402010.050251, -7.894737
1785427135.678392, -7.894737
1790452261.306533, -6.842105
1795477386.934673, -8.947368
1800502512.562814, -6.842105
1805527638.190955, -7.894737
1810552763.819095, -7.894737
1815577889.447236, -6.842105
1820603015.075377, -7.894737
1825628140.703518, -6.842105
1830653266.331658, -7.894737
1835678391.959799, -6.842105
1840703517.587940, -4.736842
1845728643.216080, -5.789474
1850753768.844221, -4.736842
1855778894.472362, -3.684211
1860804020.100502, -3.684211
1865829145.728643, -3.684211
1870854271.356784, -2.631579
1875879396.984925, -1.578947
1880904522.613065, -1.578947
1885929648.241206, -1.578947
1890954773.869347, -1.578947
1895979899.497488, -3.684211
1901005025.125628, -2.631579
1906030150.753769, -2.631579
1911055276.381910, -3.684211
1916080402.010050, -2.631579
1921105527.638191, -5.789474
1926130653.266332, -7.894737
1931155778.894472, -5.789474
1936180904.522613, -4.736842
1941206030.150754, -5.789474
1946231155.778894, -7.894737
1951256281.407035, -6.842105
1956281407.035176, -7.894737
1961306532.663317, -6.842105
1966331658.291457, -7.894737
1971356783.919598, -6.842105
1976381909.547739, -8.947368
1981407035.175879, -6.842105
1986432160.804020, -6.842105
1991457286.432161, -6.842105
1996482412.060302, -7.894737
2001507537.688442, -5.789474
2006532663.316583, -5.789474
2011557788.944724, -3.684211
2016582914.572864, -1.578947
2021608040.201005, -1.578947
2026633165.829146, -1.578947
2031658291.457286, -1.578947
2036683417.085427, -1.578947
2041708542.713568, -0.526316
2046733668.341709, -1.578947
2051758793.969849, -0.526316
2056783919.597990, -1.578947
2061809045.226131, 0.526316
2066834170.854271, -0.526316
2071859296.482412, -0.526316
2076884422.110553, -1.578947
2081909547.738693, -1.578947
2086934673.366834, -1.578947
2091959798.994975, -2.631579
2096984924.623116, -1.578947
2102010050.251256, -3.684211
2107035175.879397, -2.631579
2112060301.507538, -2.631579
2117085427.135678, -3.684211
2122110552.763819, -5.789474
2127135678.391960, -3.684211
2132160804.020101, -3.684211
2137185929.648241, -4.736842
2142211055.276382, -4.736842
2147236180.904523, -3.684211
2152261306.532663, -2.631579
2157286432.160804, -2.631579
2162311557.788945, -2.631579
2167336683.417086, -1.578947
2172361809.045226, -0.526316
2177386934.673367, -0.526316
2182412060.301507, -1.578947
2187437185.929648, -0.526316
