frequency [Hz],input_power [dBm]
1700000000.0,-8.035175879396986
1705025125.6281407,-8.316582914572864
1710050251.2562814,-8.386934673366834
1715075376.884422,-8.668341708542714
1720100502.5125628,-8.879396984924623
1725125628.1407034,-8.773869346733669
1730150753.7688441,-8.562814070351758
1735175879.3969848,-8.773869346733669
1740201005.0251257,-9.407035175879397
1745226130.6532664,-10.00502512562814
1750251256.281407,-9.125628140703519
1755276381.9095478,-8.809045226130653
1760301507.5376885,-8.84422110552764
1765326633.1658292,-9.055276381909547
1770351758.7939699,-9.090452261306533
1775376884.4221106,-9.336683417085426
1780402010.0502512,-9.477386934673367
1785427135.678392,-9.547738693467338
1790452261.3065326,-9.407035175879397
1795477386.9346733,-9.723618090452263
1800502512.562814,-9.829145728643216
1805527638.1909547,-10.251256281407036
1810552763.8190954,-10.63819095477387
1815577889.447236,-10.638190954773869
1820603015.075377,-10.673366834170855
1825628140.7035177,-10.884422110552764
1830653266.3316584,-11.130653266331658
1835678391.959799,-11.376884422110551
1840703517.5879397,-10.919597989949748
1845728643.2160804,-11.271356783919598
1850753768.844221,-11.517587939698494
1855778894.4723618,-11.517587939698492
1860804020.1005025,-11.13065326633166
1865829145.7286432,-10.814070351758794
1870854271.3567839,-11.271356783919598
1875879396.9849246,-11.93969849246231
1880904522.6130652,-11.095477386934673
1885929648.2412062,-10.84924623115578
1890954773.8693466,-11.06030150753769
1895979899.4974875,-11.306532663316583
1901005025.1256282,-10.814070351758794
1906030150.753769,-11.271356783919598
1911055276.3819096,-10.884422110552764
1916080402.0100503,-11.271356783919598
1921105527.638191,-10.954773869346734
1926130653.2663317,-10.77889447236181
1931155778.8944724,-11.271356783919597
1936180904.522613,-11.06030150753769
1941206030.1507537,-11.095477386934673
1946231155.7788944,-11.095477386934673
1951256281.407035,-10.70854271356784
1956281407.0351758,-10.77889447236181
1961306532.6633167,-10.532663316582916
1966331658.2914572,-10.954773869346734
1971356783.919598,-10.603015075376884
1976381909.5477388,-10.796482412060302
1981407035.1758795,-10.989949748743719
1986432160.8040202,-10.954773869346733
1991457286.4321609,-10.91959798994975
1996482412.0603015,-10.884422110552766
2001507537.6884422,-10.84924623115578
2006532663.316583,-10.761306532663315
2011557788.9447236,-10.690954773869347
2016582914.5728643,-10.515075376884422
2021608040.201005,-10.391959798994975
2026633165.8291457,-10.620603015075377
2031658291.4572864,-10.374371859296483
2036683417.0854273,-10.40954773869347
2041708542.7135677,-10.603015075376884
2046733668.3417087,-10.532663316582914
2051758793.9698493,-10.14572864321608
2056783919.59799,-10.14572864321608
2061809045.2261307,-9.93467336683417
2066834170.8542714,-10.075376884422113
2071859296.482412,-9.688442211055277
2076884422.1105528,-9.969849246231156
2081909547.7386935,-9.899497487437188
2086934673.3668342,-9.758793969849247
2091959798.9949749,-9.688442211055275
2096984924.6231155,-9.969849246231156
2102010050.2512562,-9.758793969849245
2107035175.879397,-9.829145728643216
2112060301.5075378,-9.793969849246231
2117085427.1356783,-9.688442211055277
2122110552.7638192,-9.969849246231155
2127135678.39196,-10.005025125628142
2132160804.0201006,-9.864321608040202
2137185929.6482413,-10.35678391959799
2142211055.276382,-10.07537688442211
2147236180.9045227,-10.28643216080402
2152261306.5326633,-10.743718592964823
2157286432.160804,-10.42713567839196
2162311557.7889447,-9.8643216080402
2167336683.4170856,-9.93467336683417
2172361809.045226,-10.884422110552764
2177386934.673367,-10.35678391959799
2182412060.3015075,-10.638190954773869
2187437185.9296484,-10.28643216080402
2192462311.557789,-10.35678391959799
2197487437.18593,-10.77889447236181
2202512562.81407,-10.49748743718593
2207537688.442211,-10.391959798994975
2212562814.0703516,-10.075376884422111
2217587939.6984925,-10.251256281407034
2222613065.3266335,-10.251256281407036
2227638190.954774,-10.040201005025125
2232663316.5829144,-9.864321608040202
2237688442.2110553,-9.547738693467338
2242713567.839196,-9.793969849246231
2247738693.4673367,-9.899497487437186
2252763819.0954776,-9.723618090452263
2257788944.723618,-9.547738693467338
2262814070.351759,-9.688442211055277
2267839195.9798994,-9.195979899497488
2272864321.6080403,-9.512562814070352
2277889447.236181,-9.266331658291456
2282914572.8643217,-9.301507537688442
2287939698.492462,-9.195979899497488
2292964824.120603,-9.65326633165829
2297989949.748744,-9.160804020100501
2303015075.3768845,-9.090452261306533
2308040201.005025,-9.055276381909549
2313065326.633166,-9.125628140703519
2318090452.261307,-8.84422110552764
2323115577.889447,-9.055276381909547
2328140703.517588,-8.668341708542714
2333165829.1457286,-8.668341708542714
2338190954.7738695,-8.879396984924623
2343216080.40201,-8.633165829145728
2348241206.030151,-8.738693467336685
2353266331.6582913,-9.407035175879397
2358291457.2864323,-9.301507537688442
2363316582.9145727,-8.809045226130653
2368341708.5427136,-9.020100502512562
2373366834.1708546,-8.984924623115578
2378391959.798995,-9.195979899497488
2383417085.4271355,-9.125628140703517
2388442211.0552764,-9.547738693467338
2393467336.6834173,-9.020100502512562
2398492462.311558,-9.512562814070352
2403517587.9396987,-9.65326633165829
2408542713.567839,-9.653266331658292
2413567839.19598,-9.090452261306533
2418592964.8241205,-9.688442211055277
2423618090.4522614,-9.477386934673365
2428643216.080402,-9.688442211055277
2433668341.708543,-10.532663316582916
2438693467.3366833,-9.547738693467336
2443718592.964824,-9.864321608040202
2448743718.592965,-9.688442211055277
2453768844.2211056,-9.934673366834172
2458793969.849246,-9.758793969849247
2463819095.477387,-9.582914572864322
2468844221.105528,-10.075376884422111
2473869346.7336683,-10.040201005025127
2478894472.3618093,-10.075376884422111
2483919597.9899497,-10.180904522613066
2488944723.6180906,-9.829145728643216
2493969849.246231,-10.075376884422111
2498994974.874372,-11.306532663316583
2504020100.5025125,-11.834170854271356
2509045226.1306534,-11.376884422110553
2514070351.758794,-9.336683417085428
2519095477.3869348,-9.125628140703517
2524120603.0150757,-9.688442211055277
2529145728.643216,-9.407035175879399
2534170854.2713566,-9.020100502512562
2539195979.8994975,-9.758793969849247
2544221105.5276384,-9.442211055276383
2549246231.155779,-9.969849246231156
2554271356.78392,-9.090452261306533
2559296482.4120603,-8.809045226130653
2564321608.040201,-8.879396984924623
2569346733.6683416,-9.055276381909547
2574371859.2964826,-8.738693467336683
2579396984.924623,-8.914572864321608
2584422110.552764,-9.231155778894472
2589447236.1809044,-9.969849246231155
2594472361.8090453,-9.020100502512564
2599497487.4371862,-9.301507537688442
2604522613.0653267,-8.809045226130653
2609547738.693467,-8.949748743718592
2614572864.321608,-9.477386934673367
2619597989.949749,-10.49748743718593
2624623115.5778894,-9.969849246231156
2629648241.2060304,-8.914572864321608
2634673366.834171,-9.512562814070352
2639698492.4623117,-8.914572864321608
2644723618.090452,-8.984924623115578
2649748743.718593,-9.266331658291458
2654773869.3467336,-8.91457286432161
2659798994.9748745,-11.517587939698494
2664824120.603015,-9.055276381909547
2669849246.231156,-8.773869346733669
2674874371.859297,-8.984924623115578
2679899497.4874372,-9.020100502512562
2684924623.1155777,-9.03768844221105
2689949748.7437186,-8.914572864321608
2694974874.3718596,-8.879396984924623
2700000000.0,-8.422110552763819
